host mmap_min_addr=0x10000
Reserved 0x2c5000 bytes of guest address space
Relocating guest address space from 0x0000000000400000 to 0x400000
guest_base  0x0
start            end              size             prot
0000000000400000-00000000004c0000 00000000000c0000 r-x
00000000006bf000-00000000006c5000 0000000000006000 rw-
0000004000000000-0000004000001000 0000000000001000 ---
0000004000001000-0000004000801000 0000000000800000 rw-
start_brk   0x0000000000000000
end_code    0x00000000004bf629
start_code  0x0000000000400000
start_data  0x00000000006bfea0
end_data    0x00000000006c1c30
start_stack 0x00000040007ffe00
brk         0x00000000006c41c8
Trace 0x560def951b60 [00000000004018b9] 
Trace 0x560def951c90 [00000000004018be] 
Trace 0x560def951d40 [00000000004018ed] 
Trace 0x560def951e10 [0000000000434f20] 
Trace 0x560def951ee0 [0000000000434f68] 
Trace 0x560def951f40 [000000000045f070] 
Trace 0x560def951fa0 [000000000045f07c] 
Trace 0x560def952040 [000000000045f087] 
Trace 0x560def9520e0 [000000000045f095] 
Trace 0x560def952120 [0000000000434f6f] 
Trace 0x560def9521b0 [0000000000434f3f] 
Trace 0x560def952240 [0000000000434f45] 
Trace 0x560def9522f0 [0000000000434f47] 
Trace 0x560def952380 [0000000000434f4f] 
Trace 0x560def951f40 [000000000045f070] 
Trace 0x560def951fa0 [000000000045f07c] 
Trace 0x560def9523d0 [0000000000434f55] 
Trace 0x560def952450 [0000000000434f59] 
Trace 0x560def9524e0 [0000000000401914] 
Trace 0x560def9525b0 [0000000000401939] 
Trace 0x560def9526b0 [0000000000422280] 
Trace 0x560def952750 [0000000000422300] 
Trace 0x560def9527f0 [0000000000422340] 
Trace 0x560def952880 [0000000000422349] 
Trace 0x560def952920 [0000000000422350] 
Trace 0x560def952a40 [00000000004223b0] 
Trace 0x560def952ad0 [00000000004223be] 
Trace 0x560def952b10 [0000000000401979] 
Trace 0x560def952b90 [000000000040199d] 
Trace 0x560def952c20 [00000000004019c0] 
Trace 0x560def952d30 [0000000000401a14] 
Trace 0x560def952ed0 [000000000040157e] 
Trace 0x560def952f60 [000000000040158e] 
Trace 0x560def953020 [00000000004015af] 
Trace 0x560def9530c0 [00000000004015cd] 
Trace 0x560def953130 [0000000000438af0] 
Trace 0x560def953200 [0000000000438b50] 
Trace 0x560def9532b0 [0000000000438b1a] 
Trace 0x560def953330 [0000000000438990] 
Trace 0x560def9533b0 [000000000043899a] 
Trace 0x560def9533f0 [0000000000438b33] 
Trace 0x560def953440 [0000000000437d30] 
Trace 0x560def9534f0 [00000000004683e0] 
Trace 0x560def9535b0 [00000000004683ff] 
Trace 0x560def953650 [0000000000468403] 
Trace 0x560def9536f0 [0000000000468480] 
Trace 0x560def953790 [0000000000468489] 
Trace 0x560def953820 [0000000000468492] 
Trace 0x560def9538b0 [0000000000468497] 
Trace 0x560def953960 [00000000004684b6] 
Trace 0x560def9539f0 [00000000004684a8] 
Trace 0x560def953aa0 [00000000004684b4] 
Trace 0x560def9539f0 [00000000004684a8] 
Trace 0x560def953b30 [00000000004684f8] 
Trace 0x560def953b90 [0000000000414a20] 
Trace 0x560def953c60 [0000000000414b4a] 
Trace 0x560def953cd0 [0000000000415df0] 
Trace 0x560def953d60 [0000000000415e10] 
Trace 0x560def953df0 [0000000000415a20] 
Trace 0x560def953f20 [0000000000415a72] 
Trace 0x560def953f90 [0000000000437680] 
Trace 0x560def954040 [0000000000437699] 
